_state,Right_to_Work(1)_Non_Rtw(2),2017_est_pop,mvlul,ulpp
Alabama,1,4875120,45163793000,9264
Alaska,2,739786,18638846000,25195
Arizona,1,7048876,55263518000,7840
Arkansas,1,3002997,26631779000,8868
California,2,39399349,9.91E+11,25146
Colorado,2,5615902,75176048000,13386
Connecticut,2,3573880,68574469000,19188
Delaware,2,957078,3648599000,3812
Florida,1,20976812,1.43E+11,6796
Georgia,1,10413055,1.05E+11,10061
Hawaii,2,1424203,26274264000,18448
Idaho,1,1718904,9581731000,5574
Illinois,2,12786196,3.27E+11,25571
Indiana,1,6660082,37135002000,5576
Iowa,1,3143637,30803351000,9799
Kansas,1,2910689,25159776000,8644
Kentucky,1,4453874,70819689000,15901
Louisiana,1,4670818,53008980000,11349
Maine,2,1335063,10494447000,7861
Maryland,2,6024891,74889023000,12430
Massachusetts,2,6863246,1.05E+11,15329
Michigan,1,9976447,81375328000,8157
Minnesota,2,5568155,71949340000,12922
Mississippi,1,2989663,40951643000,13698
Missouri,1,6108612,61864243000,10127
Montana,2,1053090,11666490000,11078
Nebraska,1,1917575,12947290000,6752
Nevada,1,2972405,41099644000,13827
New Hampshire,2,1349767,10789473000,7994
New Jersey,2,8888543,1.63E+11,18351
New Mexico,2,2093395,33417774000,15963
New York,2,19590719,3.04E+11,15508
North Carolina,1,10270800,64059744000,6237
North Dakota,1,755176,6673669000,8837
Ohio,2,11664129,1.55E+11,13321
Oklahoma,1,3932640,25177851000,6402
Oregon,2,4146592,52050613000,12553
Pennsylvania,2,12790447,1.56E+11,12176
Rhode Island,2,1056486,13231711000,12524
South Carolina,1,5021219,72157227000,14370
South Dakota,1,873286,5359005000,6137
Tennessee,1,6708794,23996987000,3577
Texas,1,28322717,2.13E+11,7528
Utah,1,3103118,19254453000,6205
Vermont,2,624525,4887877000,7827
Virginia,1,8465207,71246514000,8416
Washington,2,7425432,57027334000,7680
West Virginia,1,1817048,12050810000,6632
Wisconsin,1,5792051,52153956000,9004
Wyoming,1,578934,6841179000,11817
